cbsa_code,cbsa_name,cbsa_type,latitude,longitude,principal_city,states,is_metro,cbsa_name_normalized
38920,"Port Lavaca, TX Micro Area",2,28.441719,-96.579574,Port Lavaca,TX,False,"port lavaca, tx micro area"
38940,"Port St. Lucie, FL Metro Area",1,27.228046,-80.425388,Port St. Lucie,FL,True,"port st. lucie, fl metro area"
39020,"Portsmouth, OH Micro Area",2,38.814889,-82.998675,Portsmouth,OH,False,"portsmouth, oh micro area"
39300,"Providence-Warwick, RI-MA Metro Area",1,41.70684,-71.286687,Providence-Warwick,RI-MA,True,"providence-warwick, ri-ma metro area"
39340,"Provo-Orem-Lehi, UT Metro Area",1,39.872067,-112.359059,Provo-Orem-Lehi,UT,True,"provo-orem-lehi, ut metro area"
39380,"Pueblo, CO Metro Area",1,38.162765,-104.484668,Pueblo,CO,True,"pueblo, co metro area"
39420,"Pullman, WA Micro Area",2,46.905944,-117.53539,Pullman,WA,False,"pullman, wa micro area"
39460,"Punta Gorda, FL Metro Area",1,26.906396,-82.003657,Punta Gorda,FL,True,"punta gorda, fl metro area"
39480,"Putnam, CT Micro Area",2,41.842375,-71.972655,Putnam,CT,False,"putnam, ct micro area"
39500,"Quincy, IL-MO Micro Area",2,40.027165,-91.389838,Quincy,IL-MO,False,"quincy, il-mo micro area"
39540,"Racine-Mount Pleasant, WI Metro Area",1,42.780392,-87.771599,Racine-Mount Pleasant,WI,True,"racine-mount pleasant, wi metro area"
39580,"Raleigh-Cary, NC Metro Area",1,35.756746,-78.460441,Raleigh-Cary,NC,True,"raleigh-cary, nc metro area"
39660,"Rapid City, SD Metro Area",1,44.195108,-102.916612,Rapid City,SD,True,"rapid city, sd metro area"
39700,"Raymondville, TX Micro Area",2,26.481861,-97.594731,Raymondville,TX,False,"raymondville, tx micro area"
39740,"Reading, PA Metro Area",1,40.413957,-75.92686,Reading,PA,True,"reading, pa metro area"
39780,"Red Bluff, CA Micro Area",2,40.126157,-122.232274,Red Bluff,CA,False,"red bluff, ca micro area"
39820,"Redding, CA Metro Area",1,40.760514,-122.043556,Redding,CA,True,"redding, ca metro area"
